//Headphone name, Frequency, 90 dB SPL, 100 db SPL
Headphones 2,113.956,0.0488,0.103
Headphones 1,114.781,0.231,0.808
Headphones 2,114.781,0.0488,0.1022
Headphones 1,115.613,0.2252,0.791
Headphones 2,115.613,0.0498,0.101
Headphones 1,116.451,0.221,0.774
Headphones 2,116.451,0.052,0.0996
Headphones 1,117.295,0.2164,0.7574
Headphones 2,117.295,0.0554,0.0984
Headphones 1,118.145,0.2106,0.7414
Headphones 2,118.145,0.0556,0.098
Headphones 1,119.001,0.205,0.7256
Headphones 2,119.001,0.0514,0.0984
Headphones 1,119.863,0.1994,0.7098
Headphones 2,119.863,0.049,0.0988
Headphones 1,120.732,0.1936,0.694
Headphones 2,120.732,0.047,0.0988
Headphones 1,121.606,0.188,0.6788
Headphones 2,121.606,0.0444,0.098
Headphones 1,122.488,0.182,0.6636
Headphones 2,122.488,0.0428,0.0966
Headphones 1,123.375,0.1774,0.6488
Headphones 2,123.375,0.0428,0.0948
Headphones 1,124.269,0.1722,0.6342
Headphones 2,124.269,0.0434,0.0934
Headphones 1,125.17,0.1672,0.62
Headphones 2,125.17,0.044,0.0914
Headphones 1,126.077,0.1624,0.606
Headphones 2,126.077,0.0452,0.0896
Headphones 1,126.99,0.1584,0.5922
Headphones 2,126.99,0.0468,0.0876
Headphones 1,127.911,0.1542,0.5794
Headphones 2,127.911,0.0462,0.0862
Headphones 1,128.838,0.15,0.5676
Headphones 2,128.838,0.0442,0.0846
Headphones 1,129.771,0.1474,0.5558
Headphones 2,129.771,0.0444,0.0834
Headphones 1,130.712,0.1438,0.5446
Headphones 2,130.712,0.0442,0.083
Headphones 1,131.659,0.1398,0.5334
Headphones 2,131.659,0.0438,0.0824
Headphones 1,132.613,0.1356,0.5216
Headphones 2,132.613,0.0434,0.0818
Headphones 1,133.574,0.1322,0.5102
Headphones 2,133.574,0.0438,0.0812
Headphones 1,134.542,0.13,0.499
Headphones 2,134.542,0.0452,0.081
Headphones 1,135.517,0.1264,0.4874
Headphones 2,135.517,0.045,0.0804
Headphones 1,136.499,0.1232,0.4766
Headphones 2,136.499,0.043,0.0794
Headphones 1,137.488,0.1208,0.4652
Headphones 2,137.488,0.0432,0.0786
Headphones 1,138.484,0.1192,0.4536
Headphones 2,138.484,0.0456,0.0782
Headphones 1,139.488,0.1188,0.4418
Headphones 2,139.488,0.0506,0.0782
Headphones 1,140.498,0.1166,0.4316
Headphones 2,140.498,0.0522,0.0776
Headphones 1,141.516,0.1118,0.4216
Headphones 2,141.516,0.0458,0.076
Headphones 1,142.542,0.1082,0.4116
Headphones 2,142.542,0.0426,0.075
Headphones 1,143.575,0.1048,0.402
Headphones 2,143.575,0.0412,0.074
Headphones 1,144.615,0.103,0.392
Headphones 2,144.615,0.0424,0.0732
Headphones 1,145.663,0.1028,0.3816
Headphones 2,145.663,0.0456,0.0728
Headphones 1,146.719,0.1028,0.3718
Headphones 2,146.719,0.0486,0.0728
Headphones 1,147.782,0.1062,0.362
Headphones 2,147.782,0.0544,0.074
Headphones 1,148.853,0.1134,0.3508
Headphones 2,148.853,0.0664,0.0768
Headphones 1,149.931,0.121,0.34
Headphones 2,149.931,0.0782,0.0806
Headphones 1,151.018,0.1072,0.3348
Headphones 2,151.018,0.0692,0.0758
Headphones 1,152.112,0.096,0.3292
Headphones 2,152.112,0.056,0.0726
Headphones 1,153.214,0.09,0.3226
Headphones 2,153.214,0.0496,0.071
Headphones 1,154.325,0.085,0.315
Headphones 2,154.325,0.0466,0.0702
Headphones 1,155.443,0.081,0.3082
Headphones 2,155.443,0.046,0.07
Headphones 1,156.569,0.0776,0.301
Headphones 2,156.569,0.0454,0.0698
Headphones 1,157.704,0.0758,0.294
Headphones 2,157.704,0.0444,0.0704
Headphones 1,158.847,0.0738,0.2872
Headphones 2,158.847,0.0446,0.0714
Headphones 1,159.998,0.0726,0.2806
Headphones 2,159.998,0.0462,0.0728
Headphones 1,161.157,0.0712,0.274
Headphones 2,161.157,0.047,0.0738
Headphones 1,162.325,0.0692,0.2676
Headphones 2,162.325,0.0482,0.0748
Headphones 1,163.501,0.0662,0.2608
Headphones 2,163.501,0.0486,0.0758
Headphones 1,164.686,0.0654,0.2546
Headphones 2,164.686,0.0494,0.077
Headphones 1,165.879,0.0636,0.2484
Headphones 2,165.879,0.049,0.0776
Headphones 1,167.081,0.0614,0.2426
Headphones 2,167.081,0.047,0.0784
Headphones 1,168.292,0.059,0.2364
Headphones 2,168.292,0.0468,0.0792
Headphones 1,169.512,0.0574,0.2308
Headphones 2,169.512,0.0486,0.079
Headphones 1,170.74,0.0556,0.2256
Headphones 2,170.74,0.049,0.0788
Headphones 1,171.977,0.0548,0.2202
Headphones 2,171.977,0.048,0.078
Headphones 1,173.223,0.0542,0.215
Headphones 2,173.223,0.046,0.0772
Headphones 1,174.479,0.0538,0.2098
Headphones 2,174.479,0.0446,0.0758
Headphones 1,175.743,0.053,0.2046
Headphones 2,175.743,0.0456,0.074
Headphones 1,177.017,0.0522,0.2
Headphones 2,177.017,0.048,0.0718
Headphones 1,178.299,0.0512,0.1956
Headphones 2,178.299,0.052,0.0692
Headphones 1,179.591,0.0518,0.1918
Headphones 2,179.591,0.057,0.0658
Headphones 1,180.893,0.0496,0.1876
Headphones 2,180.893,0.0546,0.0614
Headphones 1,182.203,0.0468,0.1832
Headphones 2,182.203,0.0478,0.0566
Headphones 1,183.524,0.0462,0.1794
Headphones 2,183.524,0.0438,0.0522
Headphones 1,184.854,0.0472,0.176
Headphones 2,184.854,0.042,0.0482
Headphones 1,186.193,0.048,0.1726
Headphones 2,186.193,0.0424,0.0446
Headphones 1,187.542,0.0476,0.17
Headphones 2,187.542,0.0438,0.0416
Headphones 1,188.901,0.0464,0.1674
Headphones 2,188.901,0.045,0.039
Headphones 1,190.27,0.0462,0.1652
Headphones 2,190.27,0.0462,0.0374
Headphones 1,191.649,0.0464,0.1632
Headphones 2,191.649,0.0456,0.0358
Headphones 1,193.038,0.047,0.1616
Headphones 2,193.038,0.047,0.0348
Headphones 1,194.437,0.0476,0.1598
Headphones 2,194.437,0.0494,0.0342
Headphones 1,195.846,0.0476,0.1578
Headphones 2,195.846,0.0502,0.0338
Headphones 1,197.265,0.0474,0.1556
Headphones 2,197.265,0.0498,0.034
Headphones 1,198.694,0.0472,0.1528
Headphones 2,198.694,0.0486,0.0344
Headphones 1,200.134,0.0466,0.15
Headphones 2,200.134,0.0478,0.0348
Headphones 1,201.584,0.0472,0.1464
Headphones 2,201.584,0.0472,0.0354
Headphones 1,203.045,0.0484,0.1422
Headphones 2,203.045,0.0486,0.0364
Headphones 1,204.516,0.0488,0.1384
Headphones 2,204.516,0.0488,0.0372
Headphones 1,205.998,0.0506,0.1342
Headphones 2,205.998,0.0492,0.0384
Headphones 1,207.491,0.0534,0.13
Headphones 2,207.491,0.0512,0.0402
Headphones 1,208.995,0.0584,0.1258
Headphones 2,208.995,0.056,0.0432
Headphones 1,210.509,0.061,0.1218
Headphones 2,210.509,0.0572,0.0452
Headphones 1,212.035,0.0538,0.1194
Headphones 2,212.035,0.0484,0.0428
Headphones 1,213.571,0.0486,0.1164
Headphones 2,213.571,0.0434,0.042
Headphones 1,215.119,0.045,0.1142
Headphones 2,215.119,0.041,0.0424
Headphones 1,216.677,0.0428,0.1112
Headphones 2,216.677,0.0408,0.0432
Headphones 1,218.248,0.0426,0.1088
Headphones 2,218.248,0.0424,0.0444
Headphones 1,219.829,0.043,0.1066
Headphones 2,219.829,0.0432,0.0456
Headphones 1,221.422,0.042,0.104
Headphones 2,221.422,0.0416,0.0474
Headphones 1,223.027,0.04,0.1012
Headphones 2,223.027,0.0394,0.0492
Headphones 1,224.643,0.0388,0.099
Headphones 2,224.643,0.0392,0.0518
Headphones 1,226.271,0.0382,0.0968
Headphones 2,226.271,0.0398,0.0546
Headphones 1,227.91,0.0386,0.0946
Headphones 2,227.91,0.0414,0.0582
Headphones 1,229.562,0.0394,0.0926
Headphones 2,229.562,0.0434,0.062
Headphones 1,231.225,0.0402,0.0904
Headphones 2,231.225,0.0444,0.0662
Headphones 1,232.901,0.0404,0.0882
Headphones 2,232.901,0.0446,0.0708
Headphones 1,234.588,0.0394,0.0862
Headphones 2,234.588,0.0438,0.075
Headphones 1,236.288,0.0386,0.0846
Headphones 2,236.288,0.0426,0.0786
Headphones 1,238.001,0.0382,0.0834
Headphones 2,238.001,0.0426,0.0818
Headphones 1,239.725,0.0388,0.082
Headphones 2,239.725,0.0434,0.0834
Headphones 1,241.462,0.039,0.0802
Headphones 2,241.462,0.0432,0.0832
Headphones 1,243.212,0.0386,0.0786
Headphones 2,243.212,0.042,0.0812
Headphones 1,244.975,0.039,0.077
Headphones 2,244.975,0.042,0.0774
Headphones 1,246.75,0.0404,0.076
Headphones 2,246.75,0.0434,0.072
Headphones 1,248.538,0.0402,0.0744
Headphones 2,248.538,0.0432,0.0656
Headphones 1,250.339,0.04,0.073
Headphones 2,250.339,0.042,0.0588
Headphones 1,252.153,0.04,0.0716
Headphones 2,252.153,0.0408,0.0516
Headphones 1,253.98,0.0396,0.0708
Headphones 2,253.98,0.0412,0.0452
Headphones 1,255.82,0.0398,0.0694
Headphones 2,255.82,0.0408,0.0394
Headphones 1,257.674,0.0408,0.0682
Headphones 2,257.674,0.0402,0.0344
Headphones 1,259.541,0.0414,0.0672
Headphones 2,259.541,0.0404,0.0304
Headphones 1,261.422,0.0406,0.0662
Headphones 2,261.422,0.0406,0.0268
Headphones 1,263.316,0.0398,0.0648
Headphones 2,263.316,0.0404,0.0242
Headphones 1,265.225,0.0398,0.064
Headphones 2,265.225,0.0406,0.0222
Headphones 1,267.146,0.0404,0.0634
Headphones 2,267.146,0.0424,0.0212
Headphones 1,269.082,0.0416,0.0628
Headphones 2,269.082,0.0458,0.0214
Headphones 1,271.032,0.0418,0.062
Headphones 2,271.032,0.0458,0.0202
Headphones 1,272.996,0.0408,0.061
Headphones 2,272.996,0.0424,0.018
Headphones 1,274.974,0.0406,0.06
Headphones 2,274.974,0.041,0.0176
Headphones 1,276.967,0.0406,0.0594
Headphones 2,276.967,0.0406,0.0176
Headphones 1,278.974,0.04,0.0586
Headphones 2,278.974,0.0392,0.0176
Headphones 1,280.996,0.0398,0.0576
Headphones 2,280.996,0.0398,0.0178
Headphones 1,283.032,0.0396,0.0566
Headphones 2,283.032,0.0416,0.0182
Headphones 1,285.083,0.0394,0.0558
Headphones 2,285.083,0.0434,0.019
Headphones 1,287.149,0.039,0.0552
Headphones 2,287.149,0.0428,0.0198
Headphones 1,289.229,0.039,0.0546
Headphones 2,289.229,0.0436,0.0204
Headphones 1,291.325,0.0394,0.054
Headphones 2,291.325,0.0444,0.0208
Headphones 1,293.436,0.04,0.0532
Headphones 2,293.436,0.0452,0.0218
Headphones 1,295.563,0.04,0.053
Headphones 2,295.563,0.0466,0.0228
Headphones 1,297.704,0.0408,0.0526
Headphones 2,297.704,0.0498,0.0242
Headphones 1,299.862,0.0422,0.0522
Headphones 2,299.862,0.054,0.0256
Headphones 1,302.035,0.0408,0.0514
Headphones 2,302.035,0.0514,0.0256
Headphones 1,304.223,0.04,0.0504
Headphones 2,304.223,0.0484,0.0254
Headphones 1,306.428,0.0404,0.05
Headphones 2,306.428,0.0474,0.025
Headphones 1,308.648,0.04,0.05
Headphones 2,308.648,0.0472,0.0254
Headphones 1,310.885,0.0406,0.0492
Headphones 2,310.885,0.0484,0.0254
Headphones 1,313.138,0.0414,0.0492
Headphones 2,313.138,0.0482,0.025
Headphones 1,315.407,0.043,0.049
Headphones 2,315.407,0.0488,0.025
Headphones 1,317.692,0.043,0.0486
Headphones 2,317.692,0.0488,0.025
Headphones 1,319.994,0.0424,0.0486
Headphones 2,319.994,0.0492,0.0258
Headphones 1,322.313,0.0434,0.0486
Headphones 2,322.313,0.0494,0.027
Headphones 1,324.649,0.0434,0.0484
Headphones 2,324.649,0.0506,0.0278
Headphones 1,327.001,0.043,0.0482
Headphones 2,327.001,0.0514,0.029
Headphones 1,329.371,0.0432,0.0482
Headphones 2,329.371,0.0544,0.0302
Headphones 1,331.758,0.0432,0.0478
Headphones 2,331.758,0.054,0.03
Headphones 1,334.162,0.0426,0.0474
Headphones 2,334.162,0.0528,0.0284
Headphones 1,336.583,0.0424,0.047
Headphones 2,336.583,0.0534,0.0278
Headphones 1,339.022,0.042,0.0468
Headphones 2,339.022,0.0554,0.028
Headphones 1,341.479,0.0422,0.0466
Headphones 2,341.479,0.0562,0.0282
Headphones 1,343.953,0.0414,0.0462
Headphones 2,343.953,0.0556,0.0278
Headphones 1,346.446,0.0412,0.0458
Headphones 2,346.446,0.0554,0.027
Headphones 1,348.956,0.0412,0.0454
Headphones 2,348.956,0.0558,0.0266
Headphones 1,351.485,0.0418,0.0452
Headphones 2,351.485,0.055,0.026
Headphones 1,354.032,0.0414,0.0454
Headphones 2,354.032,0.0536,0.0256
Headphones 1,356.597,0.0404,0.0448
Headphones 2,356.597,0.0532,0.0248
Headphones 1,359.181,0.04,0.0444
Headphones 2,359.181,0.0538,0.0248
Headphones 1,361.784,0.0398,0.0442
Headphones 2,361.784,0.054,0.0236
Headphones 1,364.406,0.0402,0.044
Headphones 2,364.406,0.0544,0.023
Headphones 1,367.046,0.042,0.0444
Headphones 2,367.046,0.057,0.0226
Headphones 1,369.706,0.0432,0.0442
Headphones 2,369.706,0.0582,0.022
Headphones 1,372.385,0.043,0.0442
Headphones 2,372.385,0.0582,0.0218
Headphones 1,375.084,0.0426,0.044
Headphones 2,375.084,0.0586,0.0214
Headphones 1,377.802,0.0424,0.0438
Headphones 2,377.802,0.059,0.0212
Headphones 1,380.539,0.0426,0.0438
Headphones 2,380.539,0.0604,0.0214
Headphones 1,383.297,0.0426,0.0438
Headphones 2,383.297,0.059,0.0206
Headphones 1,386.074,0.042,0.0442
Headphones 2,386.074,0.0578,0.0204
Headphones 1,388.872,0.043,0.0446
Headphones 2,388.872,0.0586,0.0202
Headphones 1,391.69,0.0432,0.0442
Headphones 2,391.69,0.058,0.02
Headphones 1,394.528,0.0426,0.0444
Headphones 2,394.528,0.0572,0.0196
Headphones 1,397.387,0.0426,0.0446
Headphones 2,397.387,0.0572,0.0194
Headphones 1,400.267,0.0426,0.045
Headphones 2,400.267,0.0568,0.0194
Headphones 1,403.167,0.0434,0.0452
Headphones 2,403.167,0.057,0.0194
Headphones 1,406.089,0.044,0.0462
Headphones 2,406.089,0.057,0.0194
Headphones 1,409.031,0.0436,0.0468
Headphones 2,409.031,0.0554,0.0192
Headphones 1,411.995,0.043,0.047
Headphones 2,411.995,0.0548,0.0188
Headphones 1,414.981,0.0434,0.0482
Headphones 2,414.981,0.0554,0.019
Headphones 1,417.988,0.0446,0.0486
Headphones 2,417.988,0.0578,0.02
Headphones 1,421.017,0.0454,0.0496
Headphones 2,421.017,0.0592,0.0206
Headphones 1,424.068,0.0442,0.0496
Headphones 2,424.068,0.0568,0.0202
Headphones 1,427.141,0.0444,0.0504
Headphones 2,427.141,0.0564,0.0202
Headphones 1,430.236,0.0436,0.0508
Headphones 2,430.236,0.0566,0.0204
Headphones 1,433.353,0.0434,0.0512
Headphones 2,433.353,0.057,0.0208
Headphones 1,436.494,0.0434,0.0514
Headphones 2,436.494,0.0576,0.021
Headphones 1,439.657,0.0434,0.0516
Headphones 2,439.657,0.057,0.0212
Headphones 1,442.843,0.0438,0.0522
Headphones 2,442.843,0.058,0.0212
Headphones 1,446.052,0.0438,0.053
Headphones 2,446.052,0.0594,0.021
Headphones 1,449.284,0.0446,0.0536
Headphones 2,449.284,0.061,0.0212
Headphones 1,452.54,0.0444,0.0542
Headphones 2,452.54,0.0612,0.0212
Headphones 1,455.819,0.0442,0.0548
Headphones 2,455.819,0.0618,0.0218
Headphones 1,459.122,0.0446,0.0556
Headphones 2,459.122,0.0634,0.0224
Headphones 1,462.449,0.0454,0.0566
Headphones 2,462.449,0.0638,0.0222
Headphones 1,465.8,0.0458,0.0568
Headphones 2,465.8,0.0638,0.0222
Headphones 1,469.175,0.0456,0.0574
Headphones 2,469.175,0.0638,0.0222
Headphones 1,472.575,0.0448,0.0576
Headphones 2,472.575,0.064,0.0224
Headphones 1,476,0.044,0.0582
Headphones 2,476,0.0636,0.022
Headphones 1,479.449,0.0444,0.0588
Headphones 2,479.449,0.0646,0.0222
Headphones 1,482.923,0.0444,0.0592
Headphones 2,482.923,0.0658,0.0222
Headphones 1,486.422,0.0458,0.0594
Headphones 2,486.422,0.068,0.0228
Headphones 1,489.947,0.0464,0.06
Headphones 2,489.947,0.0682,0.023
Headphones 1,493.498,0.0466,0.0606
Headphones 2,493.498,0.0676,0.0228
Headphones 1,497.074,0.0466,0.0612
Headphones 2,497.074,0.0682,0.0228
Headphones 1,500.676,0.0464,0.0616
Headphones 2,500.676,0.0694,0.023
Headphones 1,504.304,0.0458,0.0624
Headphones 2,504.304,0.0686,0.0232
Headphones 1,507.958,0.0462,0.0632
Headphones 2,507.958,0.0706,0.024
Headphones 1,511.639,0.0468,0.0634
Headphones 2,511.639,0.0712,0.0242
Headphones 1,515.347,0.0466,0.0638
Headphones 2,515.347,0.0686,0.0234
Headphones 1,519.081,0.0462,0.064
Headphones 2,519.081,0.0678,0.023
Headphones 1,522.842,0.0466,0.0644
Headphones 2,522.842,0.0684,0.023
Headphones 1,526.631,0.0466,0.065
Headphones 2,526.631,0.0694,0.0232
Headphones 1,530.447,0.0464,0.0656
Headphones 2,530.447,0.0692,0.0232
Headphones 1,534.291,0.0466,0.0662
Headphones 2,534.291,0.0686,0.0234
Headphones 1,538.163,0.047,0.0668
Headphones 2,538.163,0.0704,0.0242
Headphones 1,542.062,0.0474,0.0672
Headphones 2,542.062,0.0704,0.0244
Headphones 1,545.99,0.0466,0.0672
Headphones 2,545.99,0.0688,0.0238
Headphones 1,549.947,0.0464,0.0674
Headphones 2,549.947,0.0688,0.0238
Headphones 1,553.932,0.047,0.0674
Headphones 2,553.932,0.069,0.0238
Headphones 1,557.946,0.047,0.0676
Headphones 2,557.946,0.0694,0.0242
Headphones 1,561.989,0.0468,0.0678
Headphones 2,561.989,0.0708,0.0246
Headphones 1,566.062,0.0468,0.0678
Headphones 2,566.062,0.0716,0.0252
Headphones 1,570.163,0.047,0.0682
Headphones 2,570.163,0.0734,0.0258
Headphones 1,574.295,0.0464,0.0684
Headphones 2,574.295,0.0728,0.0248
Headphones 1,578.457,0.047,0.0684
Headphones 2,578.457,0.0734,0.0246
Headphones 1,582.648,0.0478,0.0684
Headphones 2,582.648,0.073,0.025
Headphones 1,586.87,0.0478,0.0688
Headphones 2,586.87,0.0728,0.0248
Headphones 1,591.123,0.0476,0.069
Headphones 2,591.123,0.0722,0.0246
Headphones 1,595.407,0.0472,0.0692
Headphones 2,595.407,0.0716,0.0244
Headphones 1,599.721,0.0474,0.0694
Headphones 2,599.721,0.0712,0.0244
Headphones 1,604.067,0.0478,0.0694
Headphones 2,604.067,0.071,0.0246
Headphones 1,608.444,0.049,0.0698
Headphones 2,608.444,0.0726,0.0248
Headphones 1,612.853,0.0502,0.0704
Headphones 2,612.853,0.0732,0.025
Headphones 1,617.294,0.0512,0.071
Headphones 2,617.294,0.0734,0.0252
Headphones 1,621.767,0.0512,0.0714
Headphones 2,621.767,0.0738,0.0254
Headphones 1,626.273,0.0512,0.0712
Headphones 2,626.273,0.0726,0.0254
Headphones 1,630.811,0.0518,0.0712
Headphones 2,630.811,0.0726,0.0254
Headphones 1,635.382,0.051,0.0712
Headphones 2,635.382,0.0722,0.0256
Headphones 1,639.986,0.0504,0.072
Headphones 2,639.986,0.0728,0.0254
Headphones 1,644.624,0.0506,0.072
Headphones 2,644.624,0.0736,0.0256
Headphones 1,649.295,0.0508,0.0724
Headphones 2,649.295,0.0744,0.0252
Headphones 1,654,0.0506,0.073
Headphones 2,654,0.0754,0.0252
Headphones 1,658.739,0.051,0.0736
Headphones 2,658.739,0.0776,0.0256
Headphones 1,663.513,0.0512,0.0738
Headphones 2,663.513,0.0774,0.0256
Headphones 1,668.321,0.051,0.0742
Headphones 2,668.321,0.0766,0.0254
Headphones 1,673.164,0.0514,0.0744
Headphones 2,673.164,0.077,0.0254
Headphones 1,678.042,0.052,0.0748
Headphones 2,678.042,0.0772,0.0258
Headphones 1,682.955,0.053,0.0754
Headphones 2,682.955,0.0784,0.0264
Headphones 1,687.904,0.0536,0.0758
Headphones 2,687.904,0.0796,0.0272
Headphones 1,692.889,0.0534,0.0762
Headphones 2,692.889,0.0796,0.0272
Headphones 1,697.91,0.0536,0.0768
Headphones 2,697.91,0.08,0.0272
Headphones 1,702.967,0.0538,0.0776
Headphones 2,702.967,0.0804,0.0272
Headphones 1,708.061,0.0534,0.0782
Headphones 2,708.061,0.0798,0.0268
Headphones 1,713.192,0.0534,0.079
Headphones 2,713.192,0.079,0.0264
Headphones 1,718.36,0.0542,0.0796
Headphones 2,718.36,0.0792,0.0264
Headphones 1,723.566,0.055,0.0804
Headphones 2,723.566,0.0796,0.0268
Headphones 1,728.809,0.056,0.0812
Headphones 2,728.809,0.081,0.027
Headphones 1,734.09,0.057,0.0826
Headphones 2,734.09,0.0824,0.0276
Headphones 1,739.409,0.0584,0.0838
Headphones 2,739.409,0.0826,0.0278
Headphones 1,744.768,0.0588,0.0842
Headphones 2,744.768,0.0828,0.0278
Headphones 1,750.164,0.0596,0.085
Headphones 2,750.164,0.0834,0.0288
Headphones 1,755.6,0.0596,0.085
Headphones 2,755.6,0.082,0.0284
Headphones 1,761.076,0.0594,0.0856
Headphones 2,761.076,0.0816,0.028
Headphones 1,766.591,0.06,0.0862
Headphones 2,766.591,0.0814,0.028
Headphones 1,772.146,0.0604,0.0872
Headphones 2,772.146,0.0804,0.0276
Headphones 1,777.741,0.0616,0.0878
Headphones 2,777.741,0.0804,0.028
Headphones 1,783.377,0.062,0.0886
Headphones 2,783.377,0.0802,0.0282
Headphones 1,789.053,0.0616,0.0896
Headphones 2,789.053,0.0804,0.0282
Headphones 1,794.771,0.0622,0.09
Headphones 2,794.771,0.0816,0.0284
Headphones 1,800.53,0.0626,0.0908
Headphones 2,800.53,0.082,0.0288
Headphones 1,806.331,0.0642,0.092
Headphones 2,806.331,0.0834,0.0288
Headphones 1,812.174,0.0646,0.0924
Headphones 2,812.174,0.0842,0.029
Headphones 1,818.06,0.0644,0.0934
Headphones 2,818.06,0.0826,0.0284
Headphones 1,823.988,0.064,0.0942
Headphones 2,823.988,0.0814,0.0284
Headphones 1,829.959,0.0642,0.0948
Headphones 2,829.959,0.0802,0.0282
Headphones 1,835.973,0.0642,0.095
Headphones 2,835.973,0.08,0.0282
Headphones 1,842.031,0.065,0.0952
Headphones 2,842.031,0.0806,0.0286
Headphones 1,848.132,0.0652,0.0954
Headphones 2,848.132,0.0812,0.0292
Headphones 1,854.278,0.0662,0.0958
Headphones 2,854.278,0.0828,0.0294
Headphones 1,860.469,0.0666,0.096
Headphones 2,860.469,0.0828,0.0296
Headphones 1,866.704,0.0666,0.0962
Headphones 2,866.704,0.0836,0.0296
Headphones 1,872.984,0.066,0.0964
Headphones 2,872.984,0.0842,0.0296
Headphones 1,879.31,0.0654,0.0958
Headphones 2,879.31,0.0832,0.0292
Headphones 1,885.682,0.066,0.0956
Headphones 2,885.682,0.0824,0.0288
Headphones 1,892.1,0.0666,0.095
Headphones 2,892.1,0.0824,0.029
Headphones 1,898.565,0.067,0.0946
Headphones 2,898.565,0.0828,0.0292
Headphones 1,905.076,0.0666,0.0942
Headphones 2,905.076,0.0818,0.029
Headphones 1,911.634,0.0654,0.0936
Headphones 2,911.634,0.0808,0.0288
Headphones 1,918.24,0.0654,0.0932
Headphones 2,918.24,0.0808,0.0286
Headphones 1,924.894,0.066,0.0932
Headphones 2,924.894,0.081,0.0286
Headphones 1,931.596,0.0664,0.093
Headphones 2,931.596,0.0814,0.0288
Headphones 1,938.347,0.0656,0.0924
Headphones 2,938.347,0.081,0.0288
Headphones 1,945.147,0.0654,0.0908
Headphones 2,945.147,0.0812,0.0288
Headphones 1,951.996,0.0644,0.09
Headphones 2,951.996,0.08,0.0284
Headphones 1,958.894,0.0636,0.089
Headphones 2,958.894,0.0796,0.0284
Headphones 1,965.843,0.0638,0.0884
Headphones 2,965.843,0.08,0.0284
Headphones 1,972.842,0.0644,0.0878
Headphones 2,972.842,0.0814,0.0288
Headphones 1,979.891,0.065,0.0872
Headphones 2,979.891,0.082,0.0292
Headphones 1,986.992,0.0656,0.0864
Headphones 2,986.992,0.0822,0.0294
Headphones 1,994.144,0.065,0.0852
Headphones 2,994.144,0.0818,0.0294
Headphones 1,1001.348,0.0638,0.0846
Headphones 2,1001.348,0.0808,0.0288
Headphones 1,1008.604,0.0632,0.0836
Headphones 2,1008.604,0.0804,0.0286
Headphones 1,1015.913,0.0622,0.0826
Headphones 2,1015.913,0.0802,0.0286
Headphones 1,1023.274,0.0616,0.0818
Headphones 2,1023.274,0.0808,0.0286
Headphones 1,1030.689,0.061,0.0808
Headphones 2,1030.689,0.0804,0.0284
Headphones 1,1038.158,0.0608,0.0802
Headphones 2,1038.158,0.0808,0.0284
Headphones 1,1045.681,0.061,0.0794
Headphones 2,1045.681,0.0822,0.0288
Headphones 1,1053.258,0.0618,0.0788
Headphones 2,1053.258,0.0824,0.0288
Headphones 1,1060.891,0.0618,0.078
Headphones 2,1060.891,0.0818,0.0286
Headphones 1,1068.578,0.0608,0.077
Headphones 2,1068.578,0.0812,0.0288
Headphones 1,1076.322,0.06,0.0764
Headphones 2,1076.322,0.0812,0.0286
Headphones 1,1084.121,0.0596,0.0754
Headphones 2,1084.121,0.0818,0.0286
Headphones 1,1091.977,0.0594,0.0748
Headphones 2,1091.977,0.0828,0.029
Headphones 1,1099.89,0.0596,0.0742
Headphones 2,1099.89,0.0828,0.029
Headphones 1,1107.86,0.06,0.0736
Headphones 2,1107.86,0.0818,0.029
Headphones 1,1115.888,0.0594,0.0728
Headphones 2,1115.888,0.081,0.029
Headphones 1,1123.974,0.0588,0.072
Headphones 2,1123.974,0.0806,0.0288
Headphones 1,1132.119,0.0582,0.0712
Headphones 2,1132.119,0.0802,0.0284
Headphones 1,1140.323,0.0574,0.0706
Headphones 2,1140.323,0.0806,0.0282
Headphones 1,1148.586,0.0566,0.0702
Headphones 2,1148.586,0.0802,0.0282
Headphones 1,1156.909,0.0564,0.07
Headphones 2,1156.909,0.0796,0.028
Headphones 1,1165.292,0.0562,0.0694
Headphones 2,1165.292,0.0796,0.0282
Headphones 1,1173.737,0.0558,0.0686
Headphones 2,1173.737,0.079,0.0278
Headphones 1,1182.242,0.0546,0.0676
Headphones 2,1182.242,0.0784,0.0278
Headphones 1,1190.809,0.054,0.0666
Headphones 2,1190.809,0.078,0.028
Headphones 1,1199.438,0.0534,0.0658
Headphones 2,1199.438,0.077,0.0282
Headphones 1,1208.13,0.0526,0.0652
Headphones 2,1208.13,0.076,0.029
Headphones 1,1216.884,0.052,0.0644
Headphones 2,1216.884,0.0756,0.0294
Headphones 1,1225.702,0.0522,0.0636
Headphones 2,1225.702,0.0756,0.0296
Headphones 1,1234.584,0.0518,0.063
Headphones 2,1234.584,0.0754,0.03
Headphones 1,1243.53,0.0514,0.0618
Headphones 2,1243.53,0.0756,0.03
Headphones 1,1252.541,0.051,0.0608
Headphones 2,1252.541,0.0756,0.0296
Headphones 1,1261.618,0.0506,0.06
Headphones 2,1261.618,0.0766,0.0292
Headphones 1,1270.76,0.0502,0.059
Headphones 2,1270.76,0.0764,0.0292
Headphones 1,1279.968,0.0498,0.0582
Headphones 2,1279.968,0.0768,0.0286
Headphones 1,1289.243,0.0492,0.0574
Headphones 2,1289.243,0.0772,0.029
Headphones 1,1298.586,0.048,0.0564
Headphones 2,1298.586,0.077,0.0298
